# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 1.0653496058656438,1.7024546740771214,3.18809699967314,3.0069410413130897,-170.71533990916942,45.0,-0.0016143028312613674,-619.4624581179916,-0.3129555063226994,3.121619560341107
 1.0706265026892554,1.7193616623909367,3.2039641628322966,3.006911768325339,-170.71690339779522,45.0,-0.0015153528694257059,-659.9123017327204,-0.29628940608011345,3.1583145927760015
 1.075879293995645,1.7362743828728486,3.2197586950273673,3.006883630777051,-170.7183715694785,45.0,-0.0014167443357712502,-705.8436548861288,-0.2795031436915486,3.1956842389961015
 1.0811081836969567,1.7531923572847963,3.2354812165388607,3.006856600465125,-170.71974464560847,45.0,-0.0013184427283338437,-758.470564181222,-0.2625942041959101,3.233753332260304
 1.086313370191958,1.770115107386712,3.25113233083331,3.0068306504444458,-170.72102283117235,45.0,-0.0012204348746455945,-819.3800593336804,-0.24555999388941116,3.2725456278766014
 1.091495046541414,1.7870421549366622,3.2667126251001006,3.0068057547489415,-170.72220631481815,45.0,-0.0011226820391647787,-890.7241454971096,-0.22839783227694724,3.3120867562996446
 1.096653400636375,1.8039730216909855,3.2822226707666347,3.006781888371102,-170.72329526895496,45.0,-0.001025169155592165,-975.448777935943,-0.21110496037943183,3.352401091349611
 1.1017886153597214,1.8209072294044353,3.2976630239941986,3.0067590274983456,-170.72428984979393,45.0,-0.0009278678579841365,-1077.7396710050675,-0.19367853001675167,3.393515422724985
 1.1069008687412851,1.8378442998303146,3.313034226151486,3.006737148968472,-170.72519019743999,45.0,-0.0008307493227939155,-1203.7325491122556,-0.1761156145535611,3.435454808740022
 1.1119903341068575,1.8547837547206183,3.3283368042722645,3.0067162308034296,-170.72599643592454,45.0,-0.0007337994863018966,-1362.7701009163482,-0.15841319797848238,3.47824679087637
 1.1170571802213676,1.8717251158261665,3.343571271492323,3.0066962516251223,-170.72670867326454,45.0,-0.0006369764326083821,-1569.9167956733613,-0.1405681806656235,3.521918153731916
 1.1221015714265057,1.8886679048967472,3.358738127471775,3.0066771910955996,-170.72732700150024,45.0,-0.0005402805148496398,-1850.8903662355847,-0.12257737565177043,3.5664967846918767
 1.1271236677730476,1.905611643681248,3.3738378587993,3.006659029534981,-170.72785149673516,45.0,-0.0004436717048371791,-2253.9188077521985,-0.10443750950332228,3.612010781302257
 1.1321236251481253,1.9225558539277965,3.388870939381832,3.006641748080629,-170.72828221915648,45.0,-0.00034712845017424265,-2880.777992982268,-0.08614521865441034,3.6584893583473637
 1.1371015953976717,1.9395000573838925,3.4038378308186363,3.0066253284996454,-170.72861921306682,45.0,-0.0002506149171182213,-3990.185466606823,-0.06769705190021683,3.7059616328310114
 1.1420588043532214,1.9564437757965505,3.4179956028864487,2.8559966293054075,-170.72886250688524,45.0,-0.00015411027229846356,-6488.860120001032,-0.04907879021647075,3.7557952167626105
 1.1470168138826606,1.9733865309124279,3.4172494052857534,-0.15050346238032933,-170.72901211317395,45.0,-0.00005763526248824664,-17350.489211425498,-0.030174667439150493,3.8128451881895207
 1.1519961212083547,1.9903278444779695,3.4023434300031195,-2.9935841087206185,-170.72906802861323,45.0,0.00003897016359797755,25660.656966087186,-0.011229561792464442,3.804767291411417
 1.156996867217519,2.007267238239536,3.38737335000083,-2.9935693544234265,-170.72903023402282,45.0,0.0001355290699715168,7378.490830123479,0.0075577904514418275,3.756909910936624
 1.1620191965340017,2.0242042339435424,3.372338737012266,-2.993553795690442,-170.72889869433834,45.0,0.00023220407578933533,4306.556620940794,0.02619097159447616,3.7100675740005213
 1.167063257629865,2.0411383533365974,3.3572391513938786,-2.9935374158672783,-170.72867335858632,45.0,0.00032901591693866984,3039.366634005141,0.04467347792078821,3.6642114310371396
 1.172129202941301,2.058069118165634,3.342074141782797,-2.9935201978686115,-170.7283541598649,45.0,0.0004259508687868609,2347.68860279138,0.06300871837920144,3.6193127503809297
 1.1772171889890835,2.0749960501780507,3.326843244744053,-2.993502123572545,-170.72794101531696,45.0,0.0005230255105710472,1911.95262905663,0.08120001588341064,3.5753434332112555
 1.1823273765037705,2.0919186711218454,3.311545984400345,-2.993483174490634,-170.72743382608056,45.0,0.0006202908134870323,1612.1470417696357,0.09925061164110942,3.53227659568656
 1.1874599305558882,2.1088365027457527,3.2961818720500737,-2.993463331171762,-170.72683247724348,45.0,0.0007177690129025818,1393.205867102156,0.1171636637350903,3.4900854257131653
 1.1926150206913315,2.1257490667993837,3.2807504057688845,-2.9934425734075045,-170.7261368378064,45.0,0.0008154777838634569,1226.2749762014846,0.1349422451998022,3.44874308646456
 1.197792821072239,2.142655885033359,3.265251069994319,-2.9934208803640656,-170.72534676059416,45.0,0.000913438997646346,1094.763856783754,0.1525893534147939,3.4082249057076655
 1.2029935106236087,2.159556479199452,3.2496833350958183,-2.993398230125213,-170.72446208222146,45.0,0.0010116938071884584,988.4413573500505,0.17010789895602005,3.368504381618482
 1.2082172731859384,2.1764503710507257,3.2340466569252717,-2.993374600007263,-170.72348262298954,45.0,0.001110247545303127,900.7000323760891,0.1875007181529296,3.3295577640406107
 1.2134642976741927,2.193337082341671,3.218340476349372,-2.9933499664540792,-170.72240818683278,45.0,0.001209146212018829,827.0298414369327,0.20477056266243313,3.2913596168957877
 1.218734778243415,2.210216134828349,3.2025642187631873,-2.9933243048674245,-170.72123856120248,45.0,0.0013083995520517604,764.2925270280434,0.22192011050057747,3.253886929835488
 1.2240289144613208,2.227087050268531,3.186717293582604,-2.993297589696739,-170.71997351699795,45.0,0.0014080388668141282,710.2076679620575,0.23895195598773913,3.217115084715202
 1.2293469114882318,2.243949350421841,3.170799093715245,-2.9932697943994206,-170.71861280844604,45.0,0.0015080985394251613,663.086644445109,0.2558686183931289,3.1810214108404224
 1.2346889802647283,2.2608025570498955,3.154808995010256,-2.993240891120831,-170.71715617300094,45.0,0.0016085934941538346,621.6610993606114,0.2726725368122572,3.1455825677611315
 1.2400553377074277,2.277646191916452,3.138746355681365,-2.9932108511972366,-170.71560333121522,45.0,0.0017095554317899907,584.947397086124,0.28936607415996674,3.1107762622894213
