# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.6951866114037327,1.2082110616875126,3.4669526698943613,5.0127552526178105,2.591153350846245,56.040000000000006,-0.006015472210512961,-166.23798847451187,-2.087202791166579,244.40667342179182
 0.6987604353469657,1.2206653650157042,3.4848676168767794,5.012823034089209,2.5868609173730794,56.13600000000001,-0.0015257357204419993,-655.4215036076524,-1.2010758060126168,247.9492552597139
 0.7023159236030033,1.2331191413658504,3.5026908973749125,5.0128925240766495,2.58577220788219,56.232000000000006,0.0029644631587225586,337.3292048031112,-0.30620534016402845,251.68708245035222
 0.7058530700475831,1.245571391238997,3.520422484126404,5.012963706567072,2.587887366966962,56.32800000000001,0.007458364758753466,134.07764735914208,0.5979845951849662,255.62694378530512
 0.7093718672778986,1.2580211152133327,3.5380623433137295,5.013036566970448,2.5932080825226764,56.42400000000001,0.011959223593316219,83.6174683245224,1.5120835920509805,259.77597941443986
 0.7128723066752296,1.2704673140611578,3.5556104348828015,5.0131110918394635,2.601737587863183,56.52000000000001,0.016470299314069053,60.715350761463846,2.4366956179872976,264.14170365049176
 0.7163617346013798,1.2829089888661276,3.565534256125649,2.8439679663469914,2.613480665360905,56.61600000000001,0.02099487018054808,47.630682704887995,3.365330290881789,266.1280566751942
 0.7198570301431617,1.295345141140921,3.557968740020527,-2.1644853817612253,2.628443651696764,56.71200000000001,0.02553623302135122,39.16004365890166,4.280893033792127,261.9414387040839
 0.7233677756796923,1.3077747729454525,3.5404536373247746,-4.988998067077499,2.6466344446737686,56.80800000000001,0.030097709914868407,33.22511921433582,5.181461540781737,256.51773893005213
 0.726893918946737,1.3201968870058,3.522861415315848,-4.989083164414541,2.6680625115989205,56.90400000000001,0.034682651922169794,28.832858636186973,6.0769133022524,253.94650575872654
 0.7304354078701231,1.3326104868339728,3.5051923348397933,-4.989167228331034,2.692738899281834,57.00000000000001,0.039294444868782454,25.448889870803388,6.967800328264459,251.5571967849844
 0.7339921905937683,1.3450145768486796,3.4874466557221457,-4.989250256889625,2.720676245633714,57.096000000000004,0.04393651389602008,22.760112519773294,7.854667693405626,249.3453871234071
 0.7375642155090086,1.3574081624972358,3.469624636625,-4.98933224712593,2.751888792926777,57.19200000000001,0.04861232791909784,20.57091365104406,8.738054194384876,247.30692588682928
 0.7411514312853307,1.3697902503787642,3.4517265348960153,-4.989413195359941,2.786392402646175,57.28800000000001,0.05332540531365332,18.75278760879783,9.618492968040618,245.43791858499603
 0.7447537869026187,1.3821598483688502,3.433752606412055,-4.989493096600948,2.824204572064015,57.38400000000001,0.05807931879169138,17.217832798394607,10.496512125670176,243.73472552677978
 0.7483712316850318,1.3945159657457977,3.4157031054127334,-4.989571945112376,2.8653444524902745,57.480000000000004,0.06287770038292556,15.903889517428183,11.372635354731257,242.19394676610446
 0.752003715336633,1.4068576133186534,3.3975782843277433,-4.989649733729894,2.9098328692335027,57.57600000000001,0.06772424759604173,14.765760204007742,12.247382510205668,240.81241359168325
 0.7556511879789013,1.4191838035571565,3.379378393593005,-4.989726454375925,2.9576923432993554,57.67200000000001,0.0726227282213764,13.769793899117817,13.12127019439132,239.58717991705126
 0.7593136001902647,1.4314935507237903,3.361103681458939,-4.989802097471325,3.008947114917919,57.76800000000001,0.0775769863981914,12.890420812006608,13.994812342405027,238.51551862549778
 0.7629909030478002,1.4437858710081015,3.3427543937867914,-4.989876652271587,3.0636231688213114,57.864000000000004,0.08259094866461641,12.10786431405188,14.868520766885359,237.5949053774439
 0.7666830481712542,1.4560597826634618,3.324330773834224,-4.9899501066555505,3.121748261377526,57.96000000000001,0.08766862900282688,11.40658878066583,15.74290571271954,236.82301659263618
 0.7703899877695514,1.4683143061464605,3.305833062029939,-4.990022446759605,3.1833519496616187,58.05600000000001,0.09281413636874647,10.774220815103467,16.618476414450157,236.19772551266465
 0.7741116746899659,1.4805484642591127,3.287261495733099,-4.990093657521221,3.2484656223479007,58.15200000000001,0.09803167971675146,10.200784102540702,17.495741602850813,235.71708398914555
 0.7778480624701406,1.4927612822940715,3.268616308981642,-4.990163721867589,3.317122532679315,58.248000000000005,0.10332557587663452,9.67814591417278,18.375210061361354,235.3793316574373
 0.7815991053931546,1.5049517881830483,3.249897732223689,-4.9902326212018595,3.3893578333373813,58.34400000000001,0.10870025548334904,9.199610392389394,19.257391115115595,235.1828736327559
 0.7853647585458503,1.5171190126486467,3.231105992034396,-4.990300334973952,3.465208613449684,58.44000000000001,0.11416027028255711,8.759614860098951,20.142795163703088,235.12628823864446
 0.7891449778806467,1.5292619893598238,3.2122413108156387,-4.990366840651325,3.5447139376325767,58.53600000000001,0.11971030048799647,8.353500040710962,21.031934166109444,235.20831032790747
 0.792939720281076,1.5413797550911905,3.1933039064775786,-4.990432113631269,3.627914887252571,58.632000000000005,0.12535516234251676,7.97733401092513,21.925322153773543,235.42783498638852
 0.7967489436313067,1.5534713498863986,3.1742939921009676,-4.990496127106747,3.7148546038150556,58.72800000000001,0.13109981581134586,7.627775781462664,22.82347569806296,235.7839017853909
 0.8005726068899209,1.5655358172258265,3.1552117755788354,-4.990558851944461,3.8055783346878487,58.82400000000001,0.13694937293807466,7.301968446779066,23.726914410782072,236.27569992827426
 0.804410670168246,1.5775722041988394,3.1360574592364974,-4.990620256447967,3.9001334810973454,58.92000000000001,0.14290910601864476,6.997454730908009,24.636161405541433,236.90255444567947
 0.8082630948135445,1.589579561680846,3.116831239427394,-4.990680306379762,3.998569648493468,59.016000000000005,0.14898445670666413,6.712109585826813,25.551743761231624,237.66392337032585
 0.8121298434974104,1.601556944515456,3.097533306104499,-4.990738964602563,4.100938699407403,59.11200000000001,0.15518104473315283,6.444086013981837,26.474192993476432,238.55939644946906
 0.8160108803097179,1.6135034117019853,3.0781638423641255,-4.990796191097411,4.207294808727277,59.20800000000001,0.1615046776875015,6.1917711258798285,27.404045481505765,239.58868029300316
 0.8199061708585134,1.625418026588605,3.058723023961329,-4.990851942689687,4.31769452161639,59.30400000000001,0.16796136055031757,5.9537502954462065,28.341842927031884,240.75160344999534
